name,phone,email,address,postalZip,country,numberrange
Mark Santana,(231) 827-8375,consectetuer.adipiscing.elit@aol.ca,Ap #214-1029 Sit Rd.,91-630,Italy,1
Sharon Perry,(839) 540-1386,donec@google.edu,"317-1245 At, Rd.",23140,Nigeria,5
Chantale Jacobson,1-757-414-7281,aliquam.auctor@google.couk,992-3160 Vel St.,17285,South Africa,7
Sigourney Shannon,(292) 317-4786,dolor.fusce.mi@aol.org,3287 Nulla. St.,37956,Colombia,8
Yuri Estes,(855) 753-2226,neque.venenatis.lacus@protonmail.net,7400 Volutpat Rd.,34461,United Kingdom,8
Lilah Patrick,(755) 439-5195,tortor@hotmail.net,"869-2989 Vel, St.",7879,Pakistan,6
Dorian Mcneil,(735) 535-6743,nunc@google.edu,Ap #530-6340 Duis Avenue,380036,Netherlands,10
Jemima O'brien,(154) 989-5336,velit.quisque@google.com,173-2367 Enim St.,827314,France,4
Arden Bishop,(264) 267-5676,amet.faucibus@yahoo.ca,117-5849 Dolor Street,686072,Norway,7
Tatum Rocha,1-250-934-7808,sapien@outlook.edu,869-5689 Fames St.,2053-7175,Costa Rica,1
Ruby Hill,(621) 312-4338,primis.in.faucibus@google.couk,Ap #266-6191 Nunc Street,5461,Italy,5
Rafael Larsen,1-284-493-7613,mauris.sagittis@protonmail.edu,"P.O. Box 134, 851 Dapibus Avenue",F65 4HB,Australia,0
Xandra Witt,(947) 451-0518,aliquet.diam@yahoo.ca,934-5100 At Road,X7 5MO,France,9
Paloma Howe,1-798-817-9254,id@outlook.couk,748-6794 Velit Rd.,48217,Belgium,8
Riley Chambers,(976) 574-4198,ac.metus@yahoo.ca,1158 Scelerisque St.,25851,New Zealand,1
